Function Run Target f1 Eval_nb Duration Added Removed x1 x2
3 1 0.000000 0.000005 184 0.000000 8 1 -0.000935503796 -0.001956491715
3 2 0.000000 0.000000 31 0.000000 6 0 0.000000000000 0.000000000000
3 3 0.000000 0.000000 81 0.000000 12 2 0.000000000000 0.000000000000
3 4 0.000000 0.000000 4 0.000000 2 0 0.000000000000 0.000000000000
3 5 0.000000 0.000000 28 0.000000 4 1 0.000000000000 0.000000000000
3 6 0.000000 0.000000 129 0.000000 8 2 -0.000231256969 -0.000315265770
3 7 0.000000 0.000001 182 0.000000 8 3 -0.000430921430 0.000896047360
3 8 0.000000 0.000005 168 0.000000 8 4 0.001902455163 -0.001346467377
3 9 0.000000 0.000009 60 0.000000 7 1 0.000383794528 0.003027147135
3 10 0.000000 0.000008 222 0.000000 8 1 -0.002852657400 -0.000257224045
3 11 0.000000 0.000008 225 0.000000 10 3 0.002700517286 -0.000976253671
3 12 0.000000 0.000000 31 0.000000 7 1 0.000000000000 0.000000000000
3 13 0.000000 0.000000 102 0.000000 12 2 0.000000000000 0.000000000000
3 14 0.000000 0.000007 112 0.000000 7 1 -0.000538262391 0.002492167304
3 15 0.000000 0.000005 195 0.000000 7 2 0.002220709456 -0.000132314020
3 16 0.000000 0.000004 234 0.000000 11 2 -0.001060072122 0.001617532771
3 17 0.000000 0.000000 31 0.000000 8 2 0.000000000000 0.000000000000
3 18 0.000000 0.000008 156 0.000000 7 1 0.002434985901 -0.001526906462
3 19 0.000000 0.000009 134 0.000000 8 2 0.002651728008 0.001533939736
3 20 0.000000 0.000001 138 0.000000 7 1 -0.000259158227 0.001042807731
3 21 0.000000 0.000001 146 0.000000 7 0 -0.001004049355 0.000255394362
3 22 0.000000 0.000002 142 0.000000 7 1 -0.000501258246 -0.001193012362
3 23 0.000000 0.000000 157 0.000000 7 1 -0.000628053833 -0.000112207603
3 24 0.000000 0.000000 232 0.000000 11 2 -0.000225845041 -0.000071474899
3 25 0.000000 0.000005 124 0.000000 7 1 0.001977936096 -0.000770694715
3 26 0.000000 0.000010 163 0.000000 7 1 0.002861569643 -0.001211365888
3 27 0.000000 0.000000 96 0.000000 8 4 0.000000000000 0.000000000000
3 28 0.000000 0.000003 166 0.000000 7 1 -0.000712601247 0.001479769663
3 29 0.000000 0.000000 77 0.000000 9 3 0.000000000000 0.000000000000
3 30 0.000000 0.000003 157 0.000000 10 3 -0.000079991266 -0.001649066138
3 31 0.000000 0.000000 1 0.000000 0 0 0.000000000000 0.000000000000
